
> land-property-asset-management-frontend@1.0.0 lint
> eslint src --ext .ts,.tsx --format=compact

D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsChart.tsx: line 390, col 21, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsChart.tsx: line 400, col 14, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsChart.tsx: line 401, col 21, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsChart.tsx: line 412, col 23, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsDashboard.tsx: line 74, col 19, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsDashboard.tsx: line 83, col 5, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsFilters.tsx: line 134, col 9, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsFilters.tsx: line 151, col 13, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsFilters.tsx: line 177, col 11, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsFilters.tsx: line 271, col 11, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsFilters.tsx: line 295, col 11, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsStatsCard.tsx: line 56, col 10, Warning - Unexpected nullable number value in conditional. Please handle the nullish/zero/NaN cases explicitly. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\AnalyticsStatsCard.tsx: line 87, col 10, Warning - Unexpected value in conditional. A boolean expression is required. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\ChartErrorBoundary.tsx: line 28, col 5, Warning - Unexpected console statement. (no-console)
D:\ccode\zcgl\frontend\src\components\Analytics\ChartErrorBoundary.tsx: line 49, col 11, Warning - Unexpected value in conditional. A boolean expression is required. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 28, col 10, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 51, col 9, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 51, col 21, Warning - Unsafe member access .type on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 52, col 9, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 52, col 16, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 52, col 22, Warning - Unsafe member access .value on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 65, col 8, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 104, col 10, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 119, col 34, Warning - Unsafe return of a value of type `any`. (@typescript-eslint/no-unsafe-return)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 120, col 14, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 120, col 20, Warning - Unsafe member access [yDataKey] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 121, col 11, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 121, col 17, Warning - Unsafe member access [yDataKey] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 129, col 9, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 130, col 16, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 130, col 22, Warning - Unsafe member access [yDataKey] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 131, col 13, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 131, col 19, Warning - Unsafe member access [yDataKey] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 157, col 8, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 200, col 10, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 212, col 8, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 238, col 9, Warning - Unsafe assignment of an `any` value. (@typescript-eslint/no-unsafe-assignment)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 239, col 16, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 239, col 22, Warning - Unsafe member access [yDataKey] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 240, col 13, Warning - Unsafe call of a(n) `any` typed value. (@typescript-eslint/no-unsafe-call)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 240, col 19, Warning - Unsafe member access [yDataKey] on an `any` value. (@typescript-eslint/no-unsafe-member-access)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 265, col 8, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 302, col 10, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
D:\ccode\zcgl\frontend\src\components\Analytics\Charts.tsx: line 308, col 10, Warning - Unexpected object value in conditional. The condition is always true. (@typescript-eslint/strict-boolean-expressions)
